Besitzende Bibliothek;Anzahl Datensätze
DE-504;61728
DE-511;54943
DE-1271;53489
DE-Ber7;50363
DE-554;48305
DE-Spr10;47936
DE-Eb21;42115
DE-508;41580
DE-533;40168
DE-1268;40031
DE-1349;39671
DE-513;39044
DE-514;37252
DE-V0901;36990
DE-Pr3;36206
DE-V0109;34953
DE-534;34537
DE-506;34465
DE-Eh4;33558
DE-V0202;33473
DE-Fur5;32595
DE-Sen5;32512
DE-532;31449
DE-506a;30870
DE-139;30148
DE-Sht10;30123
DE-141;29962
DE-V0801;29087
DE-1136;28409
DE-Te3;27985
DE-V1313;27673
DE-V0301;27427
DE-1263;27287
DE-1267;26368
DE-Lbn3;26147
DE-510;25499
DE-Fw2;24993
DE-530;24796
DE-For3;24559
unknown;23822
DE-502;23718
DE-1266;23401
DE-1342;23133
DE-535;23060
DE-1265;23022
DE-501;22280
DE-Wbe4;21385
DE-V0213;20881
DE-V0306;20682
DE-V1308;19438
DE-537;19316
DE-529;16886
DE-V0304;16524
DE-1847;15973
DE-V0305;15885
DE-V0411;15443
DE-V0815;15257
DE-V0711;14782
DE-V0519;14780
DE-1270;14709
DE-Co22;14534
DE-1269;14503
DE-V0211;14062
DE-V0308;14022
DE-1848;13655
DE-V0808;13530
DE-V0616;13177
DE-V0710;12760
DE-V0512;12389
DE-V0516;12028
DE-1264;11866
DE-505;11665
DE-V1105;11575
DE-V1314;10880
DE-V0206;10154
DE-V0508;9955
DE-V0314;9749
DE-V0315;9697
DE-V0709;9194
DE-V0404;9003
DE-V0810;8406
DE-V0522;8315
DE-V0307;7941
DE-V0518;7828
DE-V0904;7663
DE-V0317;7580
DE-V0913;7464
DE-V0106;6439
DE-V0311;6337
DE-V0911;6319
DE-V0910;6049
DE-V1104;4504
DE-V0201;4292
DE-V0906;4136
DE-V0099;4107
DE-V1108;3990
DE-V0520;3938
DE-V0111;3611
DE-V0203;2845
DE-V10.;4
DE-V11.;3
DE-V30.;3
DE-V22.;3
DE-V21.;3
DE-V4. O;3
DE-V12.0;3
DE-V22.0;3
DE-V19.0;2
DE-V27.;2
DE-V23.0;2
DE-V12.;2
DE-V26.;2
DE-V28.;2
DE-V3. S;2
DE-V2. M;2
DE-V6. S;2
DE-V26.0;2
DE-V20.;2
DE-V3. A;2
DE-V31.0;2
DE-V19.;2
DE-V14.;2
DE-V25.;2
DE-V8. O;2
DE-V17.;2
DE-V1. O;2
DE-V9. A;1
DE-V6. M;1
DE-V19.1;1
DE-V01.1;1
DE-V6. A;1
DE-V9. O;1
DE-V15.;1
DE-V07.1;1
DE-V4. D;1
DE-V4. A;1
DE-V11.0;1
DE-V07.0;1
DE-V18.;1
DE-V31.;1
DE-V14.0;1
DE-V30.0;1
DE-V7. O;1
DE-V10.1;1
DE-V28.0;1
DE-V17.0;1
DE-V27.0;1
DE-V20.1;1
DE-V23.;1
DE-V5. J;1
DE-V8. J;1
DE-V2. D;1
DE-V08.0;1
DE-V16.0;1
DE-V24.;1
DE-V16.;1
DE-V25.0;1
DE-V24.0;1
DE-V06.0;1
DE-V05.0;1
