Language from 008,Language from 041
ger,deutsch ; englisch ; italienisch ; spanisch
eng,aus d. engl. übersetzt von martin ruf
eng,aus dem englischen von andreas wirthensohn
ger,"deutsch, englisch, französisch"
ger,"englisch, russisch, untertitel: deutsch"
ger,"deutsch, spanisch"
ger,"englisch, untertitel: deutsch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch, italienisch, portugiesisch, spanisch"
ger,"deutsch, englisch, französisch, italienisch, japanisch, polnisch, russisch, spanisch"
ger,"deutsch, englisch"
eng,"englisch, spanisch"
ger,"deutsch, englisch, französisch, spanisch"
ger,"deutsch, englisch, französisch, spanisch"
ger,"deutsch, englisch, türkisch, bulgarisch"
ger,"deutsch, französisch, italienisch"
ger,"deutsch, französisch, englisch, deutsch (untertitel)"
ger,"deutsch, französisch"
ger,"englisch, untertitel: deutsch, französisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, italienisch, türkisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"englisch, untertitel: deutsch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch"
ger,"deutsch, englisch, türkisch"
ger,"deutsch, englisch"
eng,"englisch, schwedisch"
ger,"englisch, deutsch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, italienisch, spanisch"
ger,"deutsch, englisch, italienisch, türkisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, russisch, italienisch, polnisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, polnisch, türkisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, italienisch, französisch, spanisch"
ger,"deutsch, englisch, französisch, niederländisch"
ger,"deutsch, englisch, französisch, niederländisch"
ger,"deutsch, englisch, französisch, türkisch"
ger,"deutsch, englisch, estnisch, hindi"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch, niederländisch, flämisch"
ger,"deutsch, englisch, französisch, italienisch"
ger,"deutsch, englisch, polnisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, türkisch"
ger,"deutsch, englisch, italienisch, türkisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, italienisch"
ger,"deutsch, englisch, französisch, russisch"
ger,"deutsch, englisch, französisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch"
ger,"deutsch, französisch"
ger,"deutsch, französisch, italienisch, spanisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, französisch"
ger,"deutsch, japanisch"
ger,"deutsch, norwegisch"
ger,"deutsch, französisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, italienisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch, italienisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, spanisch, italienisch, türkisch"
ger,"deutsch, englisch, französisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, arabisch, flämisch, französisch, holländisch, spanisch, türkisch"
ger,"deutsch, englisch, norwegisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, französisch, spanisch, englisch, italienisch"
ger,"deutsch, französisch, spanisch, englisch, italienisch"
ger,"deutsch, englisch, französosch, italienisch, japanisch, spanisch"
ger,"englisch, japanisch, untertitel: deutsch, englisch, französisch, italienisch, spanisch, russisch"
ger,"englisch, japanisch, untertitel: deutsch, englisch, französisch, italienisch, spanisch, russisch"
ger,"deutsch, englisch, französisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, italienisch, türkisch"
ger,"deutsch, englisch, französisch"
eng,"englisch, latein"
ger,"deutsch, englisch, französisch"
ger,"deutsch, englisch, französisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch (untertitel)"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch, spanisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, dänisch"
ger,"deutsch, englisch"
ger,"deutsch, schwedisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch, italienisch, niederländisch"
ger,"deutsch, englisch, italienisch"
ger,"deutsch, englisch, französisch, italienisch, niederländisch, flämisch"
ger,"deutsch, englisch"
ger,"deutsch, französisch, italienisch, englisch, niederländisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch"
ger,"deutsch, italienisch"
ger,"deutsch, chinesisch, spanisch, französisch, englisch, italienisch"
ger,"deutsch, englisch, türkisch"
ger,"deutsch, englisch, polnisch, türkisch"
ger,"deutsch, japanisch"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch"
